comment,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
"Bukti REZIM cuma mikirin MBG yg GAK GUNA,,,!!!

Logikanya,masa mereka bisa smpe sewa kantor klo blm dpet ijin,,,palagi klao cuma soal ijin yg UUD,,,ujung2nya DUIT!!!

Kaya Negara gak ngejual Data Rakyatnya aja,banyak kejadian kan data bocor,,,, buat Pinjol utamanya,,,","Bukti REZIM cuma mikirin MBG yg GAK GUNA

Logikanyamasa mereka bisa smpe sewa kantor klo blm dpet ijinpalagi klao cuma soal ijin yg UUDujungnya DUIT

Kaya Negara gak ngejual Data Rakyatnya ajabanyak kejadian kan data bocor buat Pinjol utamanya","bukti rezim cuma mikirin mbg yg gak guna

logikanyamasa mereka bisa smpe sewa kantor klo blm dpet ijinpalagi klao cuma soal ijin yg uudujungnya duit

kaya negara gak ngejual data rakyatnya ajabanyak kejadian kan data bocor buat pinjol utamanya",bukti rezim cuma memikirkan mbak yang tidak guna logikanyamasa mereka bisa sampai sewa kantor kalau belum dpet ijinpalagi klao cuma soal ijin yang uudujungnya duit kayak negara tidak ngejual data rakyatnya ajabanyak kejadian kan data bocor buat pinjol utamanya,"['bukti', 'rezim', 'cuma', 'memikirkan', 'mbak', 'yang', 'tidak', 'guna', 'logikanyamasa', 'mereka', 'bisa', 'sampai', 'sewa', 'kantor', 'kalau', 'belum', 'dpet', 'ijinpalagi', 'klao', 'cuma', 'soal', 'ijin', 'yang', 'uudujungnya', 'duit', 'kayak', 'negara', 'tidak', 'ngejual', 'data', 'rakyatnya', 'ajabanyak', 'kejadian', 'kan', 'data', 'bocor', 'buat', 'pinjol', 'utamanya']","['bukti', 'rezim', 'memikirkan', 'mbak', 'logikanyamasa', 'sewa', 'kantor', 'dpet', 'ijinpalagi', 'klao', 'ijin', 'uudujungnya', 'duit', 'kayak', 'negara', 'ngejual', 'data', 'rakyatnya', 'ajabanyak', 'kejadian', 'data', 'bocor', 'pinjol', 'utamanya']",bukti rezim pikir mbak logikanyamasa sewa kantor dpet ijinpalagi klao ijin uudujungnya duit kayak negara ngejual data rakyat ajabanyak jadi data bocor pinjol utama
semua gara2 mulyono,semua gara mulyono,semua gara mulyono,semua gara mulyono,"['semua', 'gara', 'mulyono']","['gara', 'mulyono']",gara mulyono
World buka di kalimantan dong,World buka di kalimantan dong,world buka di kalimantan dong,world buka di kalimantan dong,"['world', 'buka', 'di', 'kalimantan', 'dong']","['world', 'buka', 'kalimantan']",world buka kalimantan
di pemerintahan aja sdmnya begini😂,di pemerintahan aja sdmnya begini,di pemerintahan aja sdmnya begini,di pemerintahan saja sdmnya begini,"['di', 'pemerintahan', 'saja', 'sdmnya', 'begini']","['pemerintahan', 'sdmnya']",perintah sdmnya
"Yuk ramai2 pindai retina mata kita,",Yuk ramai pindai retina mata kita,yuk ramai pindai retina mata kita,yuk ramai pindai retina mata kita,"['yuk', 'ramai', 'pindai', 'retina', 'mata', 'kita']","['yuk', 'ramai', 'pindai', 'retina', 'mata']",yuk ramai pindai retina mata
Boleh tu,Boleh tu,boleh tu,boleh itu,"['boleh', 'itu']",[],
"Jangan woiii itu termasuk mining data apalagi retina , mahal itukalo dijual lagi 🤣",Jangan woiii itu termasuk mining data apalagi retina  mahal itukalo dijual lagi ,jangan woiii itu termasuk mining data apalagi retina  mahal itukalo dijual lagi ,jangan woiii itu termasuk mining data apalagi retina mahal itukalo dijual lagi,"['jangan', 'woiii', 'itu', 'termasuk', 'mining', 'data', 'apalagi', 'retina', 'mahal', 'itukalo', 'dijual', 'lagi']","['woiii', 'mining', 'data', 'retina', 'mahal', 'itukalo', 'dijual']",woiii mining data retina mahal itukalo jual
"ga mungkin di hapus lah,.. no freelunch,.. mau aja dibodohin",ga mungkin di hapus lah no freelunch mau aja dibodohin,ga mungkin di hapus lah no freelunch mau aja dibodohin,tidak mungkin di hapus lah no freelunch mau saja dibodohin,"['tidak', 'mungkin', 'di', 'hapus', 'lah', 'no', 'freelunch', 'mau', 'saja', 'dibodohin']","['hapus', 'no', 'freelunch', 'dibodohin']",hapus no freelunch dibodohin
"makin mudah pemetaan di Indonesia,.. gara2 jual data",makin mudah pemetaan di Indonesia gara jual data,makin mudah pemetaan di indonesia gara jual data,makin mudah pemetaan di indonesia gara jual data,"['makin', 'mudah', 'pemetaan', 'di', 'indonesia', 'gara', 'jual', 'data']","['mudah', 'pemetaan', 'indonesia', 'gara', 'jual', 'data']",mudah meta indonesia gara jual data
👍,,,,[],[],
"iya itu cerminan pada pemimpin bangsa ini, demi jabatan mereka rela sikut sikutan / korupsi besar-besaran /menyalahgunakan wewenang / sebagainya, ya rakyat jelata wajarlah demi rupiah rela serahkan data retina.....

emangnya di jamin apa menjadi penduduk indonesia?","iya itu cerminan pada pemimpin bangsa ini demi jabatan mereka rela sikut sikutan  korupsi besarbesaran menyalahgunakan wewenang  sebagainya ya rakyat jelata wajarlah demi rupiah rela serahkan data retina

emangnya di jamin apa menjadi penduduk indonesia","iya itu cerminan pada pemimpin bangsa ini demi jabatan mereka rela sikut sikutan  korupsi besarbesaran menyalahgunakan wewenang  sebagainya ya rakyat jelata wajarlah demi rupiah rela serahkan data retina

emangnya di jamin apa menjadi penduduk indonesia",iya itu cerminan pada pemimpin bangsa ini demi jabatan mereka rela sikut sikutan korupsi besarbesaran menyalahgunakan wewenang sebagainya ya rakyat jelata wajarlah demi rupiah rela serahkan data retina memangnya di jamin apa menjadi penduduk indonesia,"['iya', 'itu', 'cerminan', 'pada', 'pemimpin', 'bangsa', 'ini', 'demi', 'jabatan', 'mereka', 'rela', 'sikut', 'sikutan', 'korupsi', 'besarbesaran', 'menyalahgunakan', 'wewenang', 'sebagainya', 'ya', 'rakyat', 'jelata', 'wajarlah', 'demi', 'rupiah', 'rela', 'serahkan', 'data', 'retina', 'memangnya', 'di', 'jamin', 'apa', 'menjadi', 'penduduk', 'indonesia']","['iya', 'cerminan', 'pemimpin', 'bangsa', 'jabatan', 'rela', 'sikut', 'sikutan', 'korupsi', 'besarbesaran', 'menyalahgunakan', 'wewenang', 'ya', 'rakyat', 'jelata', 'wajarlah', 'rupiah', 'rela', 'serahkan', 'data', 'retina', 'memangnya', 'jamin', 'penduduk', 'indonesia']",iya cermin pimpin bangsa jabat rela sikut sikut korupsi besarbesaran menyalahgunakan wewenang ya rakyat jelata wajar rupiah rela serah data retina memang jamin duduk indonesia
potret kemiskinan rela jual data porensik tanpa jual mata,potret kemiskinan rela jual data porensik tanpa jual mata,potret kemiskinan rela jual data porensik tanpa jual mata,potret kemiskinan rela jual data porensik tanpa jual mata,"['potret', 'kemiskinan', 'rela', 'jual', 'data', 'porensik', 'tanpa', 'jual', 'mata']","['potret', 'kemiskinan', 'rela', 'jual', 'data', 'porensik', 'jual', 'mata']",potret miskin rela jual data porensik jual mata
Tidak ada yg gratis di dunia ini  apalagi memberikan imbalan terlebih dahulu pasti ada sesuatu yg mau diambil.itu logika saya,Tidak ada yg gratis di dunia ini  apalagi memberikan imbalan terlebih dahulu pasti ada sesuatu yg mau diambilitu logika saya,tidak ada yg gratis di dunia ini  apalagi memberikan imbalan terlebih dahulu pasti ada sesuatu yg mau diambilitu logika saya,tidak ada yang gratis di dunia ini apalagi memberikan imbalan terlebih dahulu pasti ada sesuatu yang mau diambilitu logika saya,"['tidak', 'ada', 'yang', 'gratis', 'di', 'dunia', 'ini', 'apalagi', 'memberikan', 'imbalan', 'terlebih', 'dahulu', 'pasti', 'ada', 'sesuatu', 'yang', 'mau', 'diambilitu', 'logika', 'saya']","['gratis', 'dunia', 'imbalan', 'diambilitu', 'logika']",gratis dunia imbal diambilitu logika
"Gak usah kebanyakan omon omon apa orang"" kaya pejabat ikut scan retina kenapa di banyak negara aplikasi ini dilarang apakah pemerintah negara tsb lebih bodoh dari anda ... Sedia payung sebelum hujan pakai payung aja masih basah juga kalo hujan deres",Gak usah kebanyakan omon omon apa orang kaya pejabat ikut scan retina kenapa di banyak negara aplikasi ini dilarang apakah pemerintah negara tsb lebih bodoh dari anda  Sedia payung sebelum hujan pakai payung aja masih basah juga kalo hujan deres,gak usah kebanyakan omon omon apa orang kaya pejabat ikut scan retina kenapa di banyak negara aplikasi ini dilarang apakah pemerintah negara tsb lebih bodoh dari anda  sedia payung sebelum hujan pakai payung aja masih basah juga kalo hujan deres,tidak usah kebanyakan omon omon apa orang kayak pejabat ikut scan retina kenapa di banyak negara aplikasi ini dilarang apakah pemerintah negara tersebut lebih bodoh dari anda sedia payung sebelum hujan pakai payung saja masih basah juga kalau hujan deres,"['tidak', 'usah', 'kebanyakan', 'omon', 'omon', 'apa', 'orang', 'kayak', 'pejabat', 'ikut', 'scan', 'retina', 'kenapa', 'di', 'banyak', 'negara', 'aplikasi', 'ini', 'dilarang', 'apakah', 'pemerintah', 'negara', 'tersebut', 'lebih', 'bodoh', 'dari', 'anda', 'sedia', 'payung', 'sebelum', 'hujan', 'pakai', 'payung', 'saja', 'masih', 'basah', 'juga', 'kalau', 'hujan', 'deres']","['kebanyakan', 'omon', 'omon', 'orang', 'kayak', 'pejabat', 'scan', 'retina', 'negara', 'aplikasi', 'dilarang', 'pemerintah', 'negara', 'bodoh', 'sedia', 'payung', 'hujan', 'pakai', 'payung', 'basah', 'hujan', 'deres']",banyak omon omon orang kayak jabat scan retina negara aplikasi larang perintah negara bodoh sedia payung hujan pakai payung basah hujan deres
"Emang tolol pemerintah, itu perusahaan udah ada dari bulan november kemarin. Masa baru sekarang dipermasalahkan. Tutup mata apa gimana itu pemerintah?? Polisi juga udah banyk ko yang scan mata disitu.",Emang tolol pemerintah itu perusahaan udah ada dari bulan november kemarin Masa baru sekarang dipermasalahkan Tutup mata apa gimana itu pemerintah Polisi juga udah banyk ko yang scan mata disitu,emang tolol pemerintah itu perusahaan udah ada dari bulan november kemarin masa baru sekarang dipermasalahkan tutup mata apa gimana itu pemerintah polisi juga udah banyk ko yang scan mata disitu,memang tolol pemerintah itu perusahaan sudah ada dari bulan november kemarin masa baru sekarang dipermasalahkan tutup mata apa bagaimana itu pemerintah polisi juga sudah banyk kok yang scan mata disitu,"['memang', 'tolol', 'pemerintah', 'itu', 'perusahaan', 'sudah', 'ada', 'dari', 'bulan', 'november', 'kemarin', 'masa', 'baru', 'sekarang', 'dipermasalahkan', 'tutup', 'mata', 'apa', 'bagaimana', 'itu', 'pemerintah', 'polisi', 'juga', 'sudah', 'banyk', 'kok', 'yang', 'scan', 'mata', 'disitu']","['tolol', 'pemerintah', 'perusahaan', 'november', 'kemarin', 'dipermasalahkan', 'tutup', 'mata', 'pemerintah', 'polisi', 'banyk', 'scan', 'mata', 'disitu']",tolol perintah usaha november kemarin masalah tutup mata perintah polisi banyk scan mata situ
Karna Indonesia sudah di ambang kehancuran ekonomi di bawah miskin tp para pejabatny hobi korupsi bahkn skrg pajak smua naik,Karna Indonesia sudah di ambang kehancuran ekonomi di bawah miskin tp para pejabatny hobi korupsi bahkn skrg pajak smua naik,karna indonesia sudah di ambang kehancuran ekonomi di bawah miskin tp para pejabatny hobi korupsi bahkn skrg pajak smua naik,karena indonesia sudah di ambang kehancuran ekonomi di bawah miskin tapi para pejabatny hobi korupsi bahkn sekarang pajak semua naik,"['karena', 'indonesia', 'sudah', 'di', 'ambang', 'kehancuran', 'ekonomi', 'di', 'bawah', 'miskin', 'tapi', 'para', 'pejabatny', 'hobi', 'korupsi', 'bahkn', 'sekarang', 'pajak', 'semua', 'naik']","['indonesia', 'ambang', 'kehancuran', 'ekonomi', 'miskin', 'pejabatny', 'hobi', 'korupsi', 'bahkn', 'pajak']",indonesia ambang hancur ekonomi miskin pejabatny hobi korupsi bahkn pajak
10 tahun, tahun, tahun,tahun,['tahun'],[],
Apa itu data retina ?,Apa itu data retina ,apa itu data retina ,apa itu data retina,"['apa', 'itu', 'data', 'retina']","['data', 'retina']",data retina
Intinya data dirimu itu d retas secara halus ..g ada namanya kasih uang gratis. Klu negara lain tidak memperbolehkan 😅😅 lalu dsni boleh karena apa YA IMING2 UANG,Intinya data dirimu itu d retas secara halus g ada namanya kasih uang gratis Klu negara lain tidak memperbolehkan  lalu dsni boleh karena apa YA IMING UANG,intinya data dirimu itu d retas secara halus g ada namanya kasih uang gratis klu negara lain tidak memperbolehkan  lalu dsni boleh karena apa ya iming uang,intinya data dirimu itu di retas secara halus tidak ada namanya kasih uang gratis kalau negara lain tidak memperbolehkan lalu disini boleh karena apa ya iming uang,"['intinya', 'data', 'dirimu', 'itu', 'di', 'retas', 'secara', 'halus', 'tidak', 'ada', 'namanya', 'kasih', 'uang', 'gratis', 'kalau', 'negara', 'lain', 'tidak', 'memperbolehkan', 'lalu', 'disini', 'boleh', 'karena', 'apa', 'ya', 'iming', 'uang']","['intinya', 'data', 'dirimu', 'retas', 'halus', 'namanya', 'kasih', 'uang', 'gratis', 'negara', 'memperbolehkan', 'ya', 'iming', 'uang']",inti data diri retas halus nama kasih uang gratis negara boleh ya iming uang
Lapangan pekerjan susah,Lapangan pekerjan susah,lapangan pekerjan susah,lapangan pekerjan susah,"['lapangan', 'pekerjan', 'susah']","['lapangan', 'pekerjan', 'susah']",lapang pekerjan susah
"Bukti nyata ekonomi yang meroket, lapangan kerja melimpah, pengangguran nihil, orang miskin tidak ada, dan semua masyarakat sejahtera. Sampai2 perusahaan aplikasi membagikan uang secara instan.",Bukti nyata ekonomi yang meroket lapangan kerja melimpah pengangguran nihil orang miskin tidak ada dan semua masyarakat sejahtera Sampai perusahaan aplikasi membagikan uang secara instan,bukti nyata ekonomi yang meroket lapangan kerja melimpah pengangguran nihil orang miskin tidak ada dan semua masyarakat sejahtera sampai perusahaan aplikasi membagikan uang secara instan,bukti nyata ekonomi yang meroket lapangan kerja melimpah pengangguran nihil orang miskin tidak ada dan semua masyarakat sejahtera sampai perusahaan aplikasi membagikan uang secara instan,"['bukti', 'nyata', 'ekonomi', 'yang', 'meroket', 'lapangan', 'kerja', 'melimpah', 'pengangguran', 'nihil', 'orang', 'miskin', 'tidak', 'ada', 'dan', 'semua', 'masyarakat', 'sejahtera', 'sampai', 'perusahaan', 'aplikasi', 'membagikan', 'uang', 'secara', 'instan']","['bukti', 'nyata', 'ekonomi', 'meroket', 'lapangan', 'kerja', 'melimpah', 'pengangguran', 'nihil', 'orang', 'miskin', 'masyarakat', 'sejahtera', 'perusahaan', 'aplikasi', 'membagikan', 'uang', 'instan']",bukti nyata ekonomi roket lapang kerja limpah anggur nihil orang miskin masyarakat sejahtera usaha aplikasi bagi uang instan
"Di BEBERAPA NEGARA BARAT MENGECAM / DI LARANG demi KEAMANAN PRIVACY... ( di SALAH GUNAKAN ) orang"" BERDUIT yang main CRYPTO,... murah banged DATA RETINA di JUAL 300-500Rb buat kepentingan Orang-Orang berduit.",Di BEBERAPA NEGARA BARAT MENGECAM  DI LARANG demi KEAMANAN PRIVACY  di SALAH GUNAKAN  orang BERDUIT yang main CRYPTO murah banged DATA RETINA di JUAL Rb buat kepentingan OrangOrang berduit,di beberapa negara barat mengecam  di larang demi keamanan privacy  di salah gunakan  orang berduit yang main crypto murah banged data retina di jual rb buat kepentingan orangorang berduit,di beberapa negara barat mengecam di larang demi keamanan privacy di salah gunakan orang berduit yang main crypto murah banget data retina di jual ribu buat kepentingan orangorang berduit,"['di', 'beberapa', 'negara', 'barat', 'mengecam', 'di', 'larang', 'demi', 'keamanan', 'privacy', 'di', 'salah', 'gunakan', 'orang', 'berduit', 'yang', 'main', 'crypto', 'murah', 'banget', 'data', 'retina', 'di', 'jual', 'ribu', 'buat', 'kepentingan', 'orangorang', 'berduit']","['negara', 'barat', 'mengecam', 'larang', 'keamanan', 'privacy', 'salah', 'orang', 'berduit', 'main', 'crypto', 'murah', 'banget', 'data', 'retina', 'jual', 'ribu', 'kepentingan', 'orangorang', 'berduit']",negara barat kecam larang aman privacy salah orang duit main crypto murah banget data retina jual ribu penting orangorang duit
