steming_data,Score,Sentiment
bukty yata perintah lindung rakyatya,1,Positif
bukti nyata paceklik cari kerja susah kriminal tambah,-1,Negatif
data jual komdigi jual aplikasi,0,Netral
kasihan rakyat indonesia,0,Netral
kayak tipu kemudi harifakta nyata miskin mudah ditipuits real,0,Netral
data pribadi perintah lalai jaga data pribadi,-3,Negatif
rakyat rela jual data pribadi jabat rela jual negara kaya pribadi keluarga,0,Netral
gua heran jaman gampang seret orang janji untung mudah kasih duit sekian ratus ribu scan mata perintah asih bansos kudu bencana bantu usaha asih ribu scan retina mata laku aco otak untung incar ya namaa usaha butuh duit bos untung cari usaha biar jalan usaha gua faham butuh duit makan situ pikir pakai logika jaman ngencing bayar bosmasa iya usaha asih ribu scan retina mata timbal manfaat scan retina susah rugi rugi terima banding ribu ajadah jadi ingat biar sadar jaman jabat asih bansos citra naikin karir politika youtuber asih bansos bikin konten stasiun tv asih bansos acara tvkencing bayar bos bayar ah dikadalin orang duit ayo sadar,-10,Negatif
corona,0,Netral
world bank sih keluarga mulyono tahi bikin data palsu akan negara mah miskin parah,-4,Negatif
pakar jelasinnya kayak anak sd paham teknologi,-3,Negatif
gue orang orang oakai aplikasi world coin ya sah sah hak asasi ganggu orang senang ya sila urus data jebol ya tau konsekwensinya daftar ribu orang ya ribu orang korban phk lamar kerja butuh hidup nilai ya sebety mata belim perintah asih bantu tutup,-1,Negatif
gagal perintah edukasi masyarakat tg bahaya curi data digital,-4,Negatif
gading serpong tangerang warga daftar dapt ung,0,Netral
jadi perintah sadar diribetapa sulit hidup warga indonesiacari kerja susah mesti bayar sadar,-1,Negatif
sunter mayor kelapa gading,0,Netral
takut rakyat,0,Netral
proyek world altman salah orang perushaan openai chatgpt pakai salah produk ya scan retina bentuk airdrop program world uang world coin salah mata uang crypto kasih uang kasih koin crypto bikin scan retina bahaya ya chatgpt buat,0,Netral
kominfo bahaya perijinan world app blok gerai dimanamana negara retribusi kaiii,-1,Negatif
relate world bank,0,Netral
aman serah aman aman korupsi curang indonesia mikir aman makan aman colong jabat,-4,Negatif
bikin kantor perintah boleh ya cari untung kelompok inti aplikasi,-1,Negatif
ngapa wajib cegah,-1,Negatif
nikmat pimpin pilih,0,Netral
rupiah jabat kroni korupsi milliaran,-2,Negatif
indonesia oh indonesia sedih aing,-1,Negatif
teknologi save data hapus recovery data hapus,-4,Negatif
canggih teknologi muncul,0,Netral
darimana tau data retina ambil hapus aco,-4,Negatif
blokir aplikasi world retina mata,-3,Negatif
perintah gagal omon doang,-1,Negatif
pmrnth malulhduit triliun rkyt ya cari apa wt berthn hidup fakta,-2,Negatif
contoh iq ekonomi indonesia belakang aku perintah indonesia gelap,-1,Negatif
lahbangsa biar rakyat ya milik jati scan retina matamereka jual data ribu data pakemereka susah kemarin buru emas ngutang relahadeuh bingung lahapa sebut nyadi bilang miskintapi ngutang pinjol ngutang sinitapi sanggup beli emas walo kadar rendah knapa indak modalin jual sihntah lahhhhh,2,Positif
masuk jebak singa,-1,Negatif
data scan retina data privat aplikasi berpassword scan retina riskan yakin data hasil scan hapus,-3,Negatif
kasihan miskin tipu,-1,Negatif
data mahal lo jual ribu astaga,1,Positif
orang uang cumaklau tuju,0,Netral
dukung e world janji bukti perintah janji bansos kagak,-1,Negatif
teori sensitif data wis ngakali masyarakt ktp photo wajah kartu identitas kali teori,0,Netral
fakta jual data negara perekamanktp benar ya data jual mudah perintah,0,Netral
berbahayabagi negarabila negara pemeintah henti meblokir aplikasi,-2,Negatif
amat omong ya logika duit gede untung balik,0,Netral
saran pakai logika mu akal sehat sesal bro orang kayak cuci tangan dapat,0,Netral
mak aki data retina ya go oppo wes cairrrrr,0,Netral
bumerang menang tau,-1,Negatif
mental uang cepat mudah,0,Netral
ealah criptopasti beres nih,0,Netral
kerja syukur gue kasih uang alhamdulilah keluarga gue lapar rt setan kasih uang kerja kerja perintah gaji gede syukurin world maju seluuh rakyat miskin diduluin kerja coba coba masalah guna lihat,4,Positif
masyarakat dimiskinkanorg laper apa,-2,Negatif
pilih hayo world asih data duit resiko data jebol kominfo asih data duit resiko data jebol,-4,Negatif
bro pakai logika mudah ya download pakai retina uang tuju maksud world tuju retina world masuk indonesia indonesia butuh uang orang indonesia pastinua bondong bondong dengar uang pintar beliau,-2,Negatif
bodoh bodohin,0,Netral
alhamdulillah syukur kerja ngeri,2,Positif
indonesia gelap pajak kendara turun sadar kuasa,-1,Negatif
bukti rakyat indonesia sulit cari kerja nganggur jual sepi kasihan saudarasaudaraku rasa keluar banding dapat serba mahal,-3,Negatif
masyarakat pemerintahgagal sudahselagi sadar korupsi perintah masyarakat ya samablum didik depn negara maju maju,0,Netral
tampak kali mas rudy bela curi data bahaya banget negara diam,-2,Negatif
cair rbu kemarin,-1,Negatif
gambar negara tingkat miskin,0,Netral
kapai coba keluar duit data orang indonesia jual murah deep web sempat bagus sih mending jual ujung sebar data pribadi ya,-1,Negatif
jam sentuh tekhnologi ai butuh validasi data akurat meminimalisir tipu online meradanggood job depan predikat world app kembang luas wallaahu alam,0,Netral
omong pakar digital bulshitt aman data pakai tuju retina aman tingkat rawan nyusup data perban saran ya daftar data harga data pribadi stop skdar uang cair,-6,Negatif
oke gas oke gas,0,Netral
masyarakat cerdas mudah tipu,0,Netral
bilang miskin ngeyel,-1,Negatif
rakyat miskin cari kerja susah dagang laku apa rakyat hancur negara jokowi kuasa negara rusak,-2,Negatif
viral kuak aman mana,0,Netral
fase indonesia gelap mudah capturing indonesia by another country,-1,Negatif
hati hati aplikasi,-1,Negatif
nama data pribadi ya privasi orang privasi aman jamin amat tolol narasumber,-1,Negatif
sutuh bps lihat biar aku data miskin rekayasa,-1,Negatif
tanda rakyat miskin perintah gagal bubarin hapus konoha peta dunia,-4,Negatif
oooiii gampang orang indonesia,0,Netral
bukti rakyat miskin butuh uangharusya perintah erti sih maksud tujngan teori doang bacot media tv swasta,-3,Negatif
ya data pribadi jadi bahan curang hack orang dpet duit kagak mending sklian jual dpet duit gue sih gue jual lgian data pribadi negeri,-3,Negatif
narasumber ya suap worldcoin omong ya scan retina mata dasar orang bayar,0,Netral
duduk indonesia juta jiwa andil auto bayar utang jokowi,1,Positif
ya ya data masyarakat bocor bayar mending data bocor duit pikir,-2,Negatif
perintah gagal,-1,Negatif
data miskin world bank tipu tipu data bps,-3,Negatif
rupiah jual,1,Positif
tahun tanah hilang rumah data jual belikan,0,Netral
hati salah us bikin robot palsu retina,-1,Negatif
tanda rakyat miskinkarena desak ekonomi,-1,Negatif
rakyat miskin tanda negara gagal,-3,Negatif
jgnkan retina ginjal duit jual,1,Positif
data retina jual perintah indonesiawalau jual perintah indonesia copynyabisa alat ancam perintah indonesia negara indonesia nurut beli perintah indonesia jual negara laindan alat log akun pinjamancoba bayang bocordata retina akun akun spam pinjol fishingdll sih laku lacak fakta crypto currency mayoritas dunia jahat digital jual beli akun,0,Netral
negeri perintah ya larang eeh sih pakar konoha aman,-1,Negatif
tunjuk betapa gagal ya perintah sejahterkan rakyat miskin rakyat perintah tutup mata,-2,Negatif
garagara mulyono,0,Netral
airdrop,0,Netral
hati ya modus gaya,0,Netral
saudi arap pemuda ya kerja gaji juta perintah terima kasih manusia muter sana,5,Positif
ya perintah jabat sibuk penting nasionalisme peduli kondisi ekonomi rakyat mudah masuk jebak iming uang scan retina bahaya dampak hancur negara disalahgunakan penting,-3,Negatif
salah bukti indonesia gelap masyarakat rela jual data duit perintah ya sibuk gede gede korupsi,-3,Negatif
ya bagus kayak,0,Netral
bahaya pihakworldid uang data retina user patut curiga manfaat worldid user uang jual data retina rela mejual data retina sungguh bodoh data retina milik jaga data profil pribadi mari jaga,-3,Negatif
dampak begook,-1,Negatif
rakyat miskin sdm rendah data guna jual uang butuh hidup data bocor gratis gara tri mending jual,-3,Negatif
iris retina mata proses lihat iris kontrol cahaya masuk mata retina ubah cahaya sinyal listrik kirim otak interpretasi gambar,-1,Negatif
retina password database negara,0,Netral
salah individu perintah,-1,Negatif
coin orang tua moga jp btw kyc ya orangorang tuakayaknya aplikasi bikin exchange ai,0,Netral
orang cari retina uchiha shisui orang pindai mata,-2,Negatif
wkwkwkwk cripto,0,Netral
aplikasi aplikasi pinjol kadalin warga konoha,-2,Negatif
perintah senang rakyat senang dikit dikt blokir ganti perintah dapat rakyat,-2,Negatif
maklumin,0,Netral
dikibulin,0,Netral
sbntar tagih kasar bunuh,-2,Negatif
miris tanda orang cari kerja sulit lapang kerja laku cuan,0,Netral
ah bodoh inti judi kali usaha duit kasih uang haha,0,Netral
cerdas ijasah asli kasih,1,Positif
cuan nih,0,Netral
wadoh rusak bocor data rusak data pribadi,-3,Negatif
yjelaslah perintah ya gagalbobrok,1,Positif
wang tungguuuu,0,Netral
lol ratus ribu bodoh pulau jawa aneh,0,Netral
ttttoooooolllllooolll,0,Netral
rakyat miskin bosrakyat tuh makan susah harga harga beben biaya pendisikan anak,-1,Negatif
pukul perintah negara tidak mampu ya tangan rakyat,1,Positif
perintah hadir ambil data retina pakar dugital kasih tuju nyajelas spesifik indonesia mengahadapi perang dagang qris amerika bro,-4,Negatif
bukti nyata perintah pengin rakyat cerdas pintar kadalin,-1,Negatif
sukses misi terbang angkasa indonesia bahan coba kominfo tonton,-1,Negatif
patut diwaspadaikita bikin ktp scan retina matajangan scaners world masuk data duduk kitamakanya kalkulasi data miskin indonesia,-4,Negatif
registrasi emailfb tiktop dll hal data fitur sidik jari smartphone hal rekam data sijdik jari smartpon system aplikasi tindak jaring luas dar anlisa,-2,Negatif
hadeh ywd biar perintah ngasuh ribu,-1,Negatif
warga negara moga bijaksana contoh masyarakat serah foto copian kakak ktp modus data instansi kasih bansos sembako data retina data face unlock moga udang bakwan,-2,Negatif
konsep grab gojek aplikasi diskon cashback sih ya teknik marketing,0,Netral
duit halal kg sih,0,Netral
mending jual ginjal,1,Positif
entar data salah gumammg miskin konoha,-3,Negatif
bukti nyata indonrsia miskin,-2,Negatif
data sih bocor ya data data duduk indonesia bocor lucu ya,-3,Negatif
korban tipu banyak orang miskin bersdm rendah prihatin,-3,Negatif
salah bukti hasil pimpin mulyono ayo fuffafa lanjut sukses bapak kaum dukung anak cucu mulyono pimpin negeri pemimmpin negeri partai gubernur presiden badan hukum keluarga mulyono mulyono titis ratu adil,1,Positif
hutang milyaran demo tuntut perintah lindung data warga,-3,Negatif
daftar dipihk sangkut daftar aju pinjol uang daftar apk uang,-1,Negatif
transmigrasi tanam lombok aman halal,0,Netral
langsung jual data aplikasi rugi tau,-2,Negatif
data ektp hilang nglengkapin,-1,Negatif
bodoh orang orang indonesia perintah wibawa,0,Netral
selagi izin perintah retina bahaya data tipu,-4,Negatif
data retina beli kelak transaksi data retina data retina jual sulit transaksi percaya bukti konoha,0,Netral
irish code extraksi ambil foto retina trsebut foto ya butuh bangking data wajah foto retina,1,Positif
brooo data olah tekknologi robot ai jada robot manusia data ya kiamaaattt,0,Netral
gue miskin retina scan ribu lumayan banyak aplikasi pakai data retina dukung data verifikasi alamat no hp no ktp no kakak dll maklumin miskin kerja susah cari uang wkwkwk,-4,Negatif
narasumber ya kompeten omong ya e e e e e,1,Positif
mesti ahli ya roy suryo biar percaya wkwkwk,2,Positif
tangerang,0,Netral
pemeerintah sadar rakyat ekonomi sekarat lapang kerja minim buka usaha ganggu ormas kmiskinan lonjak narkoba luas judi berantas rakyat bilang rakyat salah perintah pn salah,-1,Negatif
ya nama negara miskin wajar negara uang majakin,0,Netral
ya kegobloan perintah gagal menyediakn lapang kerja,2,Positif
siang gertis,0,Netral
kocak,-1,Negatif
data retina proof of human bilang data retina worldcoin tech blockchain ekosistem alokasi suplay user,-2,Negatif
amat paham teknis mekanisme digital blockchain samasekali erti tuju maksud sembunyi aplikasi,0,Netral
retina salah data,-2,Negatif
desak,0,Netral
kumpul orang orang tolol,-1,Negatif
mari cerdas beli kripto beli emas,0,Netral
data retina kerja scan barcode selaput retina mata buka akses data pribadi butuh scanner tuju cap jari tanda tangan,-3,Negatif
rumah gua tuh antri sembako,0,Netral
data wni jebol jual didarksite obral,-1,Negatif
perintah mikir jadi rakyat miskin makan gratis solusi masyarakat indonesia investasi bodong,1,Positif
larang smaa negara negara diam kayak,-2,Negatif
heboh,0,Netral
mesti banyak app ya biar masyarakat indonesia bantu,0,Netral
data online aman dunia mas ruby paham pro dunia digital,-1,Negatif
pakar digital omong empuk sogok aplikator,-3,Negatif
warga golong ekonomi tengah miskin sakit mental miskin landa bangsa indonesia salah main set masyarakat indonesia waspada,-3,Negatif
koin altman ceo open ai indonesia singapura india dll,-1,Negatif
bukti susah lapang kerja,0,Netral
beda jauh program presiden jkw kasih bansos arah suruh nyoblos,-2,Negatif
pakai mata download aplikasi deh,-2,Negatif
data dukcapil pas pilpres pilgub piliek flu hidung meler batuk,-3,Negatif
kasih cerdas milihny makan shrsy joget ok gas ok gas dongorg low otaky isiny makan fikk mikir,0,Netral
bodoh ya mudah banget giur gratisaninstant kerja,3,Positif
bukti perintah gagal sejahtera rakyat,-2,Negatif
negara gagal rakyat jual jaman kolonial belanda rakyat jawanya jual raja,0,Netral
airdrop kintoprivasea,0,Netral
data lohkoq jual ratus ribu,0,Netral
ginjal ya tuker duwit,1,Positif
world coin,0,Netral
jalan indonesia hancur tinggal nama sesuai prediksi prabowo,1,Positif
nominal sih apakh serius,-1,Negatif
sadar jebak teknologi asing data kasi pihak asing ai intel lezjen asing udang balik batu tau kendali budak,-4,Negatif
biasa kaum bansos orang normal curiga,1,Positif
ikut tagih ratus juta,-1,Negatif
negara kayak rakyat miskin,-2,Negatif
perintah diam mana jabat bobo manis ya,0,Netral
takut salah,-1,Negatif
jakarta uang,0,Netral
akibat gagal perintah sejahtera rakyat,-1,Negatif
andai dapetnya jutaretina kali juta duduk bayar lunas hutang negara,1,Positif
miris ya perintah tida jamin rakyat ya,0,Netral
gue nih orang,0,Netral
negara gagal kasih makan rakyat ya,0,Netral
jual data suap nasi tahan resiko ya jual data privansi jangka takut disalahgunakan orang tanggung daftar pinjol ya,3,Positif
logika mikir cari duit sulit mudah apa curiga,-2,Negatif
selagi pegang rusia percaya,-1,Negatif
data retina pakai langsung hapus otomatis simpan era kembang teknologi falid hati hati data apa keluarga,-2,Negatif
sakin susah nya hidup rkyat,-1,Negatif
halah heboh uji coba udik banget orang indonesia anggap sebar data sok sok an,0,Netral
percaya data scan mata simpan lacak akal,-2,Negatif
sidik jariretina fungsi,0,Netral
ngra serang jajah ngra lainga bayang orang berhianat musuh negara sndrinasionalisme luntur ngra trllu acuh jamur sifat korup,-3,Negatif
ya elahyg ptg duit lahorg jual kelamin urus kokpeduli negara rakyat,1,Positif
rugi,-1,Negatif
amit amit dahitu entar disalahgunain modiyar kita,-2,Negatif
tambahangak harap perintah zaman susah kayak giningelamar kerja panggil panggil harap diojol doang ojol perhati perintah,-3,Negatif
makan siang gratis,1,Positif
ikut narasumber metro tv serba dilema orang ya larang scan retina berbahayatapi solusi makan duit tawar duit orang rahasia duit,-2,Negatif
gratisklo gratis ya,2,Positif
cari ceroboh,-2,Negatif
ribut data bocor data bocor situs perintah hack jual beli data situs dark web,-5,Negatif
kkirain pakatbdigitalnya riysuryo wkwkwkwkw,0,Netral
ya perintah dpr becus urus negara korupsi hukum koruptor pering hukum indonesia tolol lapang kerja susah ormas dimanapemerintah dpr,-1,Negatif
bitcoin dibagiin gratis etherium stellar xrp industri crypto dibagiin gratis perintah malak mah,1,Positif
alih isu,-1,Negatif
hadeuhh miris,-1,Negatif
pintar pintar bodoh receh data utang juta jatuh tempo kaget utang data serah uang,-4,Negatif
sdm kitaotak jangka pendek,1,Positif
uang rakyat sih bahaya sih data orang susah tabung rupiah ya rakyat duit gratis heboh merekaworld bakar duit world kriptonya apk gojek bagi saham goto driver panikmana retina ambil data hadehke khawatir bagong,-2,Negatif
tangsel mah lebaran,1,Positif
kawan je daftar world coin malaysia masuk lepas,-2,Negatif
biar hak ngerugiin perintah perintah peduli rakyat ya rakyat nganggurga duit duit ribu lumayan lumayan inti ya paksa ngerugiin pemerintahokay,1,Positif
hati hati mata duit salah perintah,-2,Negatif
ijazah wiwi,0,Netral
bahaya bayar ya bitcoin deteksi kirim,1,Positif
indonesia negara susah bos lowong kerja langkah kalo cuman terima sisa usia ipk speak english orang mandarin beban masyarakat wajar kriminalitas indonesia jajah belanda konsep hidup model,1,Positif
orang omong tanggung bobol data usaha rugi asih uang,-5,Negatif
tanya world open source sulit audit isi program aman penyalahgunaan data sesuai klaim,-1,Negatif
kaya indonesia koruptor investor china,0,Netral
negara maju,0,Netral
tagih gibran sedia juta lapang kerja kampanye,4,Positif
lumayan duit perintah boro asih duit gue ojol jaman covid bantu,-2,Negatif
rupiah retina nyawa jugadijamin sukses bisnis negara,2,Positif
aroma enak ati scan retina doa awas sembarang asih data pribadi,-3,Negatif
dongeng era yakju makjuj asli kroco dajjal bibit dajjal,0,Netral
fungsi ya,1,Positif
world app beku fikirin susah rakyat masyarakat bawah,-1,Negatif
pakai problem and solved problem,-2,Negatif
tolong resin world gue ikut scan mata,-2,Negatif
ambil uang yorang awam manah pahaammkapan lgbisa bantu rakyat gue dukung,-1,Negatif
retina pasang robot robot nama id khusus,1,Positif
jadi indonesia emas,0,Netral
bukti nyata nyata world bank miskin indonesia capai nyata,-2,Negatif
strategi marketing si,0,Netral
orang kurang nominal data bocor rugi milik apa data scan retina negara pakai,-5,Negatif
percaya sesal kemudi,2,Positif
nichhhhh buka lapang kerjaaaaa janji tinggal janji si maksimal lamar bawah umur umur atas ngelamar kerja kagak breeeee,1,Positif
login apl milik tabung bank hati udang balik batu oo iya penomena sepenuh salah negara dsrnya putus sukses musti kerja keras mesti prinsip orang moga maha kuasa egera buka jalan hidup saudara untung amin,4,Positif
rumah dc pinjol bela uang ribu ogahh,1,Positif
awokawok,0,Netral
kasihan hercules,0,Netral
bahaya ta sulit cari kerja indentitasnya jual indonesia tuan,-1,Negatif
nkri harga nego miskin pelihara bikin bijak waras rakyat protes protes perut kosong leleh terima bansos turut kondisi ya,0,Netral
bodo,-1,Negatif
rekam data retina,-1,Negatif
asa data kominfo jebol luar negeri,-1,Negatif
sdm konoha parah prindavan,-1,Negatif
ribu triliun cipta ribu kerja rakyat,1,Positif
beras krisis cari miskin ya malu,-2,Negatif
nama sdm rendah ken duit instan ya manusia jual budak manusia jual data budak usaha,5,Positif
codingan aplikasi kirim data sembunyi aman isi aplikasi aplikasi milik aman doang,-2,Negatif
bukti gagal perintah tangan miskin bukti rakyat miskin,-4,Negatif
ya bahaya data data resiko identitas disalahgunakan,-2,Negatif
worldcoin data bocor aplikasi google,-3,Negatif
orang miskin wajib vaksitomi,-2,Negatif
bukti negara gagal,-2,Negatif
waspada sekolah blockchain ai indonesia biar dikit panik ketidaktahuan,-1,Negatif
orang miskin makan orang kayak orang bodoh makan orang pintar,-2,Negatif
tanda sdm ya ai rendah indonesia world data palsu bukti manusia retina mata manusia beda sidik jari,-4,Negatif
hati hati pakai pinjol,0,Netral
uang altman ceo openai chatgpt pelopor ai world bangun blockchain beda manusia ai rugi curi data kyc rugi manipulasi manusia bot sulit beda,-5,Negatif
eh sorry ya ges back up data ya,0,Netral
abang ruby retina jadi unik code frasa sandi sembarang orang ngambil data retina,-2,Negatif
tau tau tau tau,-4,Negatif
akibat bodoh kemiskinanyg pntg uang,0,Netral
pegang omong ahli,-2,Negatif
eith perintah nyerah ya lindung data warga raja,0,Netral
bps contoh negara miskin,-1,Negatif
bodoh gaya,0,Netral
ya nama susah cari uangjangan larang donkpreman atasin judol atasin cartel narkoba begal,-3,Negatif
paham kripto ketawa developer ya cerdas dunia kripto kejam data diperjualbelikan,0,Netral
orang bodoh jujur mirus stop deh sayrda udhlhjngn hiroukn,0,Netral
negara diam,0,Netral
knapa orang bodoh banget halo saudraku pleas deh pikir no hp kthuan word is meaning dunia mata indra,1,Positif
pakar cuk marketing bilang instal app crypto pakai retina,-1,Negatif
bukti perintah gagal,-2,Negatif
moga produk penting genosida,2,Positif
kasih kominfo,0,Netral
terimakasih jokowiiiiii hasil kerja,3,Positif
bantar roysakti ulas,-1,Negatif
salah rakyat perintah lindung rakyat,0,Netral
ya pojok butuh uang hidup anak istri pmrintah sibuk kuasa cari krupsi biar aman,-2,Negatif
rusak nih negara astaghfirullah,-1,Negatif
cari kerja susah syarat nyajadi rakyat,-1,Negatif
negara gagal sejahtera cerdas rakyat,-1,Negatif
negara malu jadi mpr dpr malu jadi rakyat sulit hidup,0,Netral
konspirasi barat aman negara deteksi akurat orangorang rekam retina mata sidik jari manipulasi sistem retina mata sulit rubah anti identitas orang rekam retina manusia mnjd objek robot deteksi sistem,-5,Negatif
retina ginjal jual belikan legal jual gue,1,Positif
inti pengin hasil nya,1,Positif
korban pinjol,-1,Negatif
polisi tindak potensi rugi masyarakat,0,Netral
daftar ketahuilan app world sedia hapus akun rekam retina mata hapus sesal sayang data retina mata,-4,Negatif
hatihati download aplikasi data data hp kena data rekening abang pin bank email pin email habis kuras klik ngerekam data data hp kosong pin password simpan hp,-9,Negatif
jaka sembung bawa golok,0,Netral
bukti nyata ekonomi indonesia krisis sakit sekarat perintah cuek cuek,-3,Negatif
jenius ceo openai perangkap orang miskin uang,-1,Negatif
ngeriii tagih hutang bank asing kismin paksa jual aset lunas hutang word crypto,-3,Negatif
aplikasi intelejen penting cari data informasi retina mata,-4,Negatif
habis kena hack orang indonesia pintar curi data,-4,Negatif
bodo,-1,Negatif
orang indonesia mah gampang kak olo,0,Netral
perintah diam gblkk,0,Netral
tanda perintah tolong rakyat miskin penggangguran,-2,Negatif
bahaya loh,-1,Negatif
bilang takut data aman tanya data aman kemarin kali jebol hacker jual data,-2,Negatif
negara gagal lapang kerja luas luas efek,4,Positif
gagal perintah sejahtera rakyat tidak mampu perintah didik rakyat akibat rakyat mudah eksploitasi gelintir uang,-2,Negatif
makan siang gratis,1,Positif
duit,0,Netral
kasihan rakyat indonesia kurang uang uang rakyat apbn habis kasih makan kuasa jabat jual retina mata,-1,Negatif
gue bingung rakyat uang apa aplikasi lihat resikonyakalau data pribadi dimanfaatkanrakyat sadar,-2,Negatif
hati hati depan,0,Netral
naujubillaah,0,Netral
oenting tindak pemda aparay hukum,0,Netral
pakar kayak,-2,Negatif
mtar duit bank aplikasi kuras pakai akses retina mu senjata makan tuan,0,Netral
ya tuju data rela bayar untung data logis jelas ya gimik marketing,0,Netral
